grp	Species	Genus	Family	abu	relative
Pt01_Pre-Tx	Mupapillomavirus 3	Mupapillomavirus	Papillomaviridae	4214.765	0.273777139252052
Pt01_Pre-Tx	Alphapapillomavirus 4	Alphapapillomavirus	Papillomaviridae	738.09382	0.0479441237030342
Pt01_Pre-Tx	Alphapapillomavirus 2	Alphapapillomavirus	Papillomaviridae	27.837608	0.00180823858076548
Pt01_Pre-Tx	Alphapapillomavirus 3	Alphapapillomavirus	Papillomaviridae	4.747989	0.000308413599719133
Pt01_Pre-Tx	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	82820.1220166	5.37972012157513
Pt01_Pre-Tx	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	47925.2853298	3.11306739887775
Pt01_Pre-Tx	Betapapillomavirus 5	Betapapillomavirus	Papillomaviridae	47.613916	0.00309284188111733
Pt01_Pre-Tx	Betapapillomavirus 3	Betapapillomavirus	Papillomaviridae	1851.525	0.120268916002115
Pt01_Pre-Tx	Gammapapillomavirus 3	Gammapapillomavirus	Papillomaviridae	581.4033	0.0377660278154778
Pt01_Pre-Tx	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	488511.89709	31.7321107288053
Pt01_Pre-Tx	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	117304.4190326	7.61970555045635
Pt01_Pre-Tx	Gammapapillomavirus 24	Gammapapillomavirus	Papillomaviridae	336558.9061737	21.8617489995374
Pt01_Pre-Tx	Gammapapillomavirus 23	Gammapapillomavirus	Papillomaviridae	532.7729163	0.0346071595677545
Pt01_Pre-Tx	Gammapapillomavirus 10	Gammapapillomavirus	Papillomaviridae	1238.846616	0.0804713625790679
Pt01_Pre-Tx	Gammapapillomavirus 15	Gammapapillomavirus	Papillomaviridae	204407.253236	13.2776164349191
Pt01_Pre-Tx	Gammapapillomavirus 18	Gammapapillomavirus	Papillomaviridae	39875.613675	2.59018745715633
Pt01_Pre-Tx	Gammapapillomavirus 9	Gammapapillomavirus	Papillomaviridae	146460.3447	9.51357766941583
Pt01_Pre-Tx	Gammapapillomavirus sp	Gammapapillomavirus	Papillomaviridae	130.4975916	0.00847669023244014
Pt01_Pre-Tx	Gammapapillomavirus 16	Gammapapillomavirus	Papillomaviridae	3811.356	0.247573030133624
Pt01_Pre-Tx	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	5581.8175918	0.362576336310513
Pt01_Pre-Tx	Gammapapillomavirus 7	Gammapapillomavirus	Papillomaviridae	54987.1966375	3.57178570831465
Pt01_Pre-Tx	Gammapapillomavirus 1	Gammapapillomavirus	Papillomaviridae	1177.9275	0.0765142590859327
Pt01_Pre-Tx	Gammapapillomavirus 19	Gammapapillomavirus	Papillomaviridae	152.477924	0.00990445963934211
Pt01_Pre-Tx	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	407.368694	0.0264613176924845
Pt01_Pre-Tx	Gammapapillomavirus 21	Gammapapillomavirus	Papillomaviridae	120.09805	0.00780117054183326
Pt01_Pre-Tx	Alphapolyomavirus octihominis	Alphapolyomavirus	Polyomaviridae	17.37226	0.00112844432492508
Pt02_Pre-Tx	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	101804.8680216	4.56555156765782
Pt02_Pre-Tx	Betapapillomavirus 2	Betapapillomavirus	Papillomaviridae	23117.1914767	1.036715943327
Pt02_Pre-Tx	Betapapillomavirus 3	Betapapillomavirus	Papillomaviridae	67.3241	0.00301922350344717
Pt02_Pre-Tx	Betapapillomavirus 4	Betapapillomavirus	Papillomaviridae	11.721265	0.000525653054079188
Pt02_Pre-Tx	Gammapapillomavirus 12	Gammapapillomavirus	Papillomaviridae	1225.9251235	0.0549779640030475
Pt02_Pre-Tx	Gammapapillomavirus 22	Gammapapillomavirus	Papillomaviridae	1767053.591317	79.2454668499841
Pt02_Pre-Tx	Gammapapillomavirus 24	Gammapapillomavirus	Papillomaviridae	968.3966249	0.0434288145041225
Pt02_Pre-Tx	Gammapapillomavirus 23	Gammapapillomavirus	Papillomaviridae	8.627558	0.000386912352203054
Pt02_Pre-Tx	Gammapapillomavirus 10	Gammapapillomavirus	Papillomaviridae	548.497775	0.0245979875537657
Pt02_Pre-Tx	Gammapapillomavirus 15	Gammapapillomavirus	Papillomaviridae	14889.376735	0.66773051834323
Pt02_Pre-Tx	Gammapapillomavirus 18	Gammapapillomavirus	Papillomaviridae	52966.6990036	2.37535002371633
Pt02_Pre-Tx	Gammapapillomavirus 9	Gammapapillomavirus	Papillomaviridae	8473.155742	0.379988012682156
Pt02_Pre-Tx	Gammapapillomavirus sp	Gammapapillomavirus	Papillomaviridae	37.09406	0.00166352402468476
Pt02_Pre-Tx	Gammapapillomavirus 11	Gammapapillomavirus	Papillomaviridae	701.8725944	0.0314762504576804
Pt02_Pre-Tx	Gammapapillomavirus 7	Gammapapillomavirus	Papillomaviridae	5640.365214	0.252948397708022
Pt02_Pre-Tx	Gammapapillomavirus 8	Gammapapillomavirus	Papillomaviridae	233932.610847	10.4909658932243
Pt02_Pre-Tx	Gammapapillomavirus 14	Gammapapillomavirus	Papillomaviridae	142.08098	0.00637177822219394
Pt02_Pre-Tx	Gammapapillomavirus 2	Gammapapillomavirus	Papillomaviridae	6764.8072372	0.303375240171703
Pt02_Pre-Tx	Gammapapillomavirus 13	Gammapapillomavirus	Papillomaviridae	7584.7466	0.340146325051668
Pt02_Pre-Tx	Gammapapillomavirus	Gammapapillomavirus	Papillomaviridae	3343.7046	0.149952119922946
Pt02_Pre-Tx	Gammapapillomavirus 27	Gammapapillomavirus	Papillomaviridae	364.66388	0.0163537538170468
Pt02_Pre-Tx	Alphapolyomavirus octihominis	Alphapolyomavirus	Polyomaviridae	51.904385	0.00232770938080079
Pt02_Pre-Tx	Deltapolyomavirus decihominis	Deltapolyomavirus	Polyomaviridae	31.794765	0.00142587129682505
Pt02_Pre-Tx	Deltapolyomavirus undecihominis	Deltapolyomavirus	Polyomaviridae	19.86122	0.000890698312062619
Pt02_Pre-Tx	MOCV	Molluscipoxvirus	Poxviridae	97.287556	0.00436296772876477
Pt03_Pre-Tx	Torque teno virus	Alphatorquevirus	Anelloviridae	3.5466957	0.000405816965473264
Pt03_Pre-Tx	Simplexvirus humanalpha1	Simplexvirus	Herpesviridae	2.3371363	0.000267417799943596
Pt03_Pre-Tx	Mupapillomavirus 3	Mupapillomavirus	Papillomaviridae	250.48434	0.028660703752333
Pt03_Pre-Tx	Mupapillomavirus 1	Mupapillomavirus	Papillomaviridae	1789.0945	0.204710232381906
Pt03_Pre-Tx	Betapapillomavirus 1	Betapapillomavirus	Papillomaviridae	25369.9067273	2.90285365119219
